user_id,gender,married,has_children,home_country,home_city,home_airport,age,amount_only_flight_trips,amount_only_hotel_trips,amount_pauschal_trips,seats,hotel_revenue_w_discount,flight_revenue_w_discount,rooms,nights,checked_bags,cancellation,amount_unique_destinations,fav_hotel,amount_total_trips,total_revenue_w_discount,segment,revenue_per_trip,revenue_per_person,hotel_revenue_per_trip
101486,F,True,True,usa,tacoma,TCM,53,0.0,1.0,1.0,1.0,2199.0,189.91,1.5,4.0,0.0,0,1.0,,2.0,2388.91,Other,1194.455,2388.91,183.25
101961,F,True,False,usa,boston,BOS,45,0.0,0.0,5.0,1.0,2429.0,1237.693,1.0,3.8,0.4,0,5.0,,5.0,3666.693,Other,733.3386,3666.693,127.8421052631579
149058,F,False,True,usa,birmingham,BHM,53,0.0,0.0,5.0,,5579.0,0.0,1.2,5.2,,0,0.0,,5.0,5579.0,Other,1115.8,,178.81410256410257
252835,F,False,True,usa,chicago,ORD,40,1.0,0.0,4.0,1.0,1460.0,1615.635,1.0,2.75,0.6,0,3.0,,5.0,3075.635,Other,615.1270000000001,3075.635,106.18181818181819
330893,F,True,True,usa,oklahoma city,OKC,45,0.0,0.0,3.0,1.0,750.0,861.61,1.0,2.0,0.6666666666666666,0,3.0,,3.0,1611.6100000000001,Other,537.2033333333334,1611.6100000000001,125.0
340166,M,True,True,usa,san francisco,SFO,53,0.0,1.0,0.0,,474.0,0.0,1.0,2.0,,0,0.0,,1.0,474.0,Other,474.0,,237.0
347778,F,False,False,usa,las vegas,LSV,51,1.0,0.0,4.0,1.6,4474.0,12436.29,1.75,2.25,1.0,0,4.0,,5.0,16910.29,Other,3382.058,10568.93125,227.25079365079364
353694,F,False,True,usa,new york,LGA,41,0.0,0.0,2.0,1.5,1634.0,713.52,1.5,4.5,0.5,0,2.0,,2.0,2347.52,Other,1173.76,1565.0133333333333,121.03703703703702
354260,F,False,False,usa,providence,PVD,51,1.0,0.0,1.0,1.0,520.0,1165.01,1.0,2.0,1.0,0,2.0,,2.0,1685.01,Other,842.505,1685.01,130.0
354311,F,True,False,usa,tucson,DMA,47,1.0,0.0,1.0,1.0,291.0,1072.89,1.0,3.0,0.5,0,2.0,,2.0,1363.89,Other,681.945,1363.89,48.5
361459,F,True,True,usa,houston,EFD,43,0.0,0.0,1.0,1.0,165.0,393.91,1.0,1.0,1.0,0,1.0,,1.0,558.9100000000001,Other,558.9100000000001,558.9100000000001,165.0
374341,F,False,False,usa,detroit,YIP,27,0.0,3.0,0.0,,6840.0,0.0,2.0,7.333333333333333,,0,0.0,,3.0,6840.0,Other,2280.0,,155.45454545454547
375751,F,True,False,usa,cleveland,CLE,52,1.0,0.0,2.0,1.0,999.0,707.56,1.0,3.0,0.3333333333333333,0,3.0,,3.0,1706.56,Other,568.8533333333334,1706.56,111.0
376159,F,False,False,usa,long beach,LGB,44,0.0,1.0,1.0,1.0,708.0,367.24,1.0,3.0,1.0,0,1.0,,2.0,1075.24,Other,537.62,1075.24,118.0
377411,F,True,False,canada,montreal,YMX,40,0.0,0.0,2.0,1.5,1026.0,1905.536,1.5,2.5,0.0,0,2.0,,2.0,2931.536,Other,1465.768,1954.3573333333334,136.8
378565,F,True,True,usa,nashville,BNA,42,0.0,3.0,2.0,1.0,8600.0,687.941,1.2,8.8,0.5,0,2.0,,5.0,9287.941,Other,1857.5882000000001,9287.941,162.87878787878788
380434,F,True,True,usa,oklahoma city,TIK,51,0.0,0.0,3.0,1.0,1426.0,999.3375,1.0,2.333333333333333,0.3333333333333333,0,3.0,,3.0,2425.3375,Other,808.4458333333333,2425.3375,203.71428571428572
380757,F,False,True,usa,los angeles,LAX,48,0.0,0.0,3.0,1.0,1310.35,495.62,1.0,4.666666666666667,0.3333333333333333,0,3.0,,3.0,1805.9699999999998,Other,601.9899999999999,1805.9699999999998,93.59642857142856
382181,F,True,False,canada,halifax,YHZ,38,1.0,0.0,2.0,1.0,920.0,1073.04,1.0,2.5,0.6666666666666666,0,3.0,,3.0,1993.04,Other,664.3466666666667,1993.04,122.66666666666667
382384,F,True,False,usa,st. petersburg,PIE,59,0.0,0.0,1.0,1.0,156.0,228.63,1.0,1.0,1.0,0,1.0,,1.0,384.63,Other,384.63,384.63,156.0
385689,F,False,True,usa,nashville,BNA,51,0.0,1.0,3.0,,3545.0,0.0,1.25,4.0,,0,0.0,,4.0,3545.0,Other,886.25,,177.25
388767,F,True,True,usa,tallahassee,TLH,46,0.0,0.0,1.0,,1890.0,0.0,1.0,10.0,,0,0.0,,1.0,1890.0,Other,1890.0,,189.0
388947,M,False,False,usa,new york,LGA,42,1.0,0.0,2.0,1.0,684.0,1196.2385,1.0,2.0,0.6666666666666666,0,3.0,,3.0,1880.2385,Other,626.7461666666667,1880.2385,114.0
389662,F,False,False,usa,fresno,FAT,40,0.0,1.0,2.0,1.0,815.0,631.063,1.0,1.3333333333333333,1.0,0,2.0,,3.0,1446.063,Other,482.021,1446.063,203.75000000000003
390811,F,False,False,usa,los angeles,LAX,42,0.0,0.0,3.0,1.0,1387.0,1099.02,1.0,3.6666666666666665,0.6666666666666666,0,3.0,,3.0,2486.02,Other,828.6733333333333,2486.02,126.0909090909091
400275,F,True,True,usa,phoenix,LUF,58,1.0,0.0,1.0,,1052.0,0.0,1.0,4.0,,0,0.0,,2.0,1052.0,Other,526.0,,131.5
401245,F,False,False,usa,omaha,OFF,30,1.0,0.0,2.0,,722.0,0.0,1.0,3.0,,0,0.0,,3.0,722.0,Other,240.66666666666666,,80.22222222222221
407250,F,False,False,usa,laredo,LRD,38,1.0,0.0,3.0,,1025.0,0.0,1.0,3.0,,0,0.0,,4.0,1025.0,Other,256.25,,85.41666666666667
407275,F,False,False,usa,philadelphia,PNE,44,1.0,0.0,3.0,1.0,2576.0,746.9499999999999,1.0,5.0,0.5,0,4.0,,4.0,3322.95,Other,830.7375,3322.95,128.8
408551,F,True,True,usa,chicago,UGN,45,0.0,0.0,2.0,1.0,1076.0,647.39,1.0,2.5,0.5,0,2.0,,2.0,1723.3899999999999,Other,861.6949999999999,1723.3899999999999,215.2
409073,F,True,False,usa,sacramento,MCC,44,0.0,0.0,3.0,1.0,803.0,1578.56,1.0,1.6666666666666667,1.0,0,2.0,,3.0,2381.56,Other,793.8533333333334,2381.56,160.6
413340,F,True,True,usa,nashville,BNA,49,2.0,0.0,1.0,1.0,1096.0,532.06,1.0,8.0,0.6666666666666666,0,3.0,,3.0,1628.06,Other,542.6866666666666,1628.06,45.666666666666664
415381,F,True,False,usa,chicago,UGN,48,1.0,0.0,2.0,1.0,704.0,451.21,1.0,2.5,1.0,0,3.0,,3.0,1155.21,Other,385.07,1155.21,93.86666666666666
421870,M,True,True,usa,little rock,LIT,31,1.0,0.0,2.0,,1435.0,0.0,1.0,2.5,,0,0.0,,3.0,1435.0,Other,478.3333333333333,,191.33333333333331
424553,F,True,False,usa,oklahoma city,TIK,51,0.0,2.0,1.0,1.0,1798.0,393.35,1.0,5.333333333333333,1.0,0,1.0,,3.0,2191.35,Other,730.4499999999999,2191.35,112.37500000000001
425632,F,True,False,usa,tampa,MCF,47,1.0,1.0,1.0,1.0,2280.0,888.98,1.0,5.0,0.5,0,2.0,,3.0,3168.98,Other,1056.3266666666666,3168.98,152.0
425953,F,True,False,usa,nashville,BNA,40,0.0,0.0,4.0,1.75,1162.85,1596.6765,1.75,2.0,0.0,0,2.0,,4.0,2759.5265,Other,689.881625,1576.8722857142857,83.06071428571428
432333,F,True,True,usa,milwaukee,MKE,51,0.0,1.0,1.0,1.0,1460.0,515.36,1.0,4.5,1.0,0,1.0,,2.0,1975.3600000000001,Other,987.6800000000001,1975.3600000000001,162.22222222222223
433080,F,True,False,usa,colorado springs,COS,46,0.0,0.0,4.0,,1675.6,0.0,1.25,3.25,,0,0.0,,4.0,1675.6,Other,418.9,,103.11384615384615
436320,F,True,True,usa,milwaukee,MKE,51,0.0,0.0,2.0,1.0,629.0,379.037,1.0,2.5,0.5,0,2.0,,2.0,1008.037,Other,504.0185,1008.037,125.8
436894,F,True,False,usa,louisville,LOU,44,0.0,0.0,2.0,1.0,931.0,313.81,1.0,4.0,0.5,0,2.0,,2.0,1244.81,Other,622.405,1244.81,116.375
438839,F,False,True,usa,new york,JFK,52,0.0,0.0,3.0,1.0,2932.0,576.574,1.0,6.666666666666667,0.6666666666666666,0,3.0,,3.0,3508.574,Other,1169.5246666666667,3508.574,146.6
440212,F,True,True,usa,winston-salem,INT,41,0.0,0.0,1.0,1.0,116.0,520.812,1.0,2.0,1.0,0,1.0,,1.0,636.812,Other,636.812,636.812,58.0
